1, 1, 1, 		0.08657,	4.962,		1-1
1, 2, 1, 		0.09139,	2.086,		1-1
1, 3, 1, 		0.1141,		5.430,		1-1
1, 4, 1, 		0.1063,		0.8573,		1-1
1, 5, 1, 		0.1166,		3.484,		1-1
1, 6, 1, 		0.3812,		0.8518,		1-1
1, 7, 1, 		0.3317,		1.254,		2-2
1, 8, 1, 		0.1339,		1.729,		2-2
1, 9, 1, 		0.3645,		1.021,		2-2
1, 10, 1, 		0.3784,		1.085,		2-2
2, 1, 1, 		0.09770,	2.876,		1-1
2, 2, 1, 		0.1199,		1.960,		1-1
2, 3, 1, 		0.1688,		4.206,		1-1
2, 4, 1, 		0.2810,		2.366,		2-2
2, 5, 1, 		0.2958,		1.650,		2-2
2, 6, 1, 		0.4005,		1.240,		1-1
2, 7, 1, 		0.1337,		1.904,		2-2
2, 8, 1, 		0.3385,		0.6699,		2-2
2, 9, 1, 		0.3542,		1.133,		2-2
2, 10, 1, 		0.3614,		0.7060,		2-2
3, 1, 1, 		0.1073,		0.9145,		1-1
3, 2, 1, 		0.1152,		4.781,		1-1
3, 3, 1, 		0.3069,		2.682,		2-2
3, 4, 1, 		0.3017,		1.283,		2-2
3, 5, 1, 		0.3031,		1.740,		2-2
3, 6, 1, 		0.2906,		4.498,		2-2
3, 7, 1, 		0.1372,		1.387,		2-2
3, 8, 1, 		0.3571,		0.8643,		2-2
3, 9, 1, 		0.1502,		1.590,		2-2
3, 10, 1, 		0.1504,		1.502,		2-2
4, 1, 1, 		0.3264,		5.226,		2-2
4, 2, 1, 		0.4075,		4.054,		2-2
4, 3, 1, 		0.3229,		2.275,		2-2
4, 4, 1, 		0.4239,		2.402,		2-2
4, 5, 1, 		0.3603,		1.371,		2-2
4, 6, 1, 		0.3590,		2.052,		2-2
4, 7, 1, 		0.3731,		1.561,		2-2
4, 8, 1, 		0.3791,		0.7368,		2-2
4, 9, 1, 		0.1619,		1.400,		2-2
4, 10, 1, 		0.3599,		1.287,		2-2
5, 1, 1, 		0.3182,		4.153,		2-2
5, 2, 1, 		0.3108,		2.247,		2-2
5, 3, 1, 		0.3156,		1.910,		2-2
5, 4, 1, 		0.3655,		2.759,		2-2
5, 5, 1, 		0.3834,		2.394,		3-3
5, 6, 1, 		0.3725,		1.756,		3-3
5, 7, 1, 		0.3589,		2.239,		3-3
5, 8, 1, 		0.2645,		3.042,		3-3
5, 9, 1, 		0.5444,		3.917,		2-3
5, 10, 1, 		0.2342,		2.840,		2-2
6, 1, 1, 		0.2690,		2.337,		2-2
6, 2, 1, 		0.2682,		2.819,		2-2
6, 3, 1, 		0.2777,		2.319,		2-2
6, 4, 1, 		0.4091,		3.605,		2-2
6, 5, 1, 		0.3109,		1.381,		3-3
6, 6, 1, 		0.3078,		2.152,		3-3
6, 7, 1, 		0.3147,		2.421,		3-3
6, 8, 1, 		0.3171,		2.306,		2-2
6, 9, 1, 		0.2798,		1.773,		2-2
6, 10, 1, 		0.2134,		1.711,		2-2
7, 1, 1, 		0.4080,		11.97,		1-2
7, 2, 1, 		0.4876,		13.43,		1-2
7, 3, 1, 		0.2910,		2.857,		2-2
7, 4, 1, 		0.2779,		2.613,		2-2
7, 5, 1, 		0.3036,		2.983,		3-3
7, 6, 1, 		0.4535,		1.658,		2-2
7, 7, 1, 		0.3286,		3.668,		2-2
7, 8, 1, 		0.2516,		1.396,		2-2
7, 9, 1, 		0.1654,		1.228,		2-2
7, 10, 1, 		0.2057,		1.517,		2-2
8, 1, 1, 		0.2750,		6.982,		1-2
8, 2, 1, 		0.3141,		11.20,		1-2
8, 3, 1, 		0.3469,		13.85,		1-2
8, 4, 1, 		0.2747,		7.413,		1-1
8, 5, 1, 		0.1802,		1.428,		2-2
8, 6, 1, 		0.1907,		3.007,		2-2
8, 7, 1, 		0.2435,		2.296,		2-2
8, 8, 1, 		0.2434,		1.154,		2-2
8, 9, 1, 		0.2825,		1.152,		2-2
8, 10, 1, 		0.1821,		1.108,		2-2
9, 1, 1, 		0.2077,		2.828,		1-2
9, 2, 1, 		0.2063,		5.064,		1-2
9, 3, 1, 		0.1602,		3.412,		1-1
9, 4, 1, 		0.1402,		3.337,		1-1
9, 5, 1, 		0.1460,		1.282,		2-2
9, 6, 1, 		0.2468,		0.3723,		1-1
9, 7, 1, 		0.2353,		1.760,		2-2
9, 8, 1, 		0.2472,		1.315,		2-2
9, 9, 1, 		0.1997,		1.432,		2-2
9, 10, 1, 		0.2557,		1.051,		2-2
10, 1, 1, 		0.1631,		6.919,		1-1
10, 2, 1, 		0.1379,		1.713,		1-1
10, 3, 1, 		0.1177,		1.332,		1-1
10, 4, 1, 		0.1355,		2.607,		1-1
10, 5, 1, 		0.4841,		5.408,		1-2
10, 6, 1, 		0.08833,	1.033,		1-1
10, 7, 1, 		0.2067,		1.527,		2-2
10, 8, 1, 		0.2580,		1.569,		2-2
10, 9, 1, 		0.2171,		0.8954,		2-2
10, 10, 1, 		0.2324,		1.072,		2-2
